,id,err_log,ce_std,treat,tprofit_endline,tinventory_endline,keeps_some_records_endline,marketing_endline,age,businessage,bankaccount,credit,employees,employeesnumber,loan,gender,profit,secondaryedu,account,marketing
0,2642.0,-1.0830736,-1.6069169,0.0,400.0,1000.0,1.0,0.0,36,9,1,1,0,0,1,1,3000.0,1.0,0.0,1.0
1,2623.0,-1.0560555,-1.5674446,0.0,1000.0,1500.0,0.0,1.0,42,8,0,1,0,0,0,1,2800.0,0.0,0.0,0.0
2,2083.0,-1.0521765,-1.5617775,0.0,1000.0,4800.0,1.0,0.0,42,7,0,1,0,0,0,1,3600.0,1.0,0.0,0.0
3,3280.0,-1.0437202,-1.5494232,0.0,3000.0,5000.0,0.0,0.0,36,16,1,0,0,0,1,1,4000.0,0.0,0.0,0.0
4,1387.0,-1.0393848,-1.5430894,0.0,500.0,1000.0,1.0,0.0,46,10,0,1,0,0,0,1,4000.0,0.0,0.0,1.0
5,1668.0,-1.037137,-1.5398054,0.0,1000.0,,0.0,1.0,35,10,1,1,0,0,0,1,3200.0,0.0,0.0,1.0
6,2416.0,-0.97748756,-1.4526601,0.0,500.0,1000.0,1.0,0.0,40,11,0,1,0,0,0,1,4000.0,0.0,0.0,0.0
7,1255.0,-0.9531956,-1.4171705,0.0,600.0,1000.0,1.0,0.0,40,15,0,1,0,0,0,1,3200.0,0.0,1.0,1.0
8,2374.0,-0.9024296,-1.3430035,0.0,1500.0,4800.0,1.0,0.0,51,27,1,0,0,0,0,1,4000.0,1.0,0.0,0.0
9,2011.0,-0.8919487,-1.3276913,0.0,400.0,600.0,1.0,0.0,38,10,0,1,0,0,0,1,4500.0,0.0,0.0,0.0
10,2304.0,-0.8919487,-1.3276913,0.0,300.0,1800.0,1.0,0.0,38,13,0,1,0,0,0,1,4500.0,0.0,0.0,0.0
11,265.0,-0.8290329,-1.235774,0.0,400.0,,1.0,0.0,42,25,0,1,0,0,1,1,4500.0,1.0,0.0,0.0
12,1608.0,-0.7987881,-1.1915876,0.0,3500.0,2000.0,0.0,0.0,45,15,1,0,0,0,0,1,4800.0,1.0,1.0,0.0
13,525.0,-0.77906036,-1.1627662,0.0,2000.0,,1.0,1.0,37,10,0,0,0,0,0,1,4000.0,0.0,0.0,0.0
14,543.0,-0.7622967,-1.1382751,0.0,1600.0,3000.0,1.0,0.0,38,10,0,1,0,0,0,1,4000.0,0.0,0.0,0.0
15,2676.0,-0.7622967,-1.1382751,0.0,3500.0,2500.0,0.0,0.0,38,15,0,1,0,0,0,1,4000.0,0.0,0.0,0.0
16,733.0,-0.7540226,-1.1261871,0.0,2100.0,5000.0,1.0,1.0,38,8,0,1,1,2,1,1,6000.0,0.0,0.0,0.0
17,767.0,-0.73103905,-1.092609,0.0,600.0,1000.0,1.0,0.0,39,12,1,1,1,2,0,1,5200.0,1.0,0.0,0.0
18,3205.0,-0.730052,-1.091167,0.0,,,0.0,0.0,40,15,0,1,0,0,1,1,4000.0,1.0,0.0,0.0
19,1563.0,-0.71942997,-1.0756487,0.0,400.0,2500.0,1.0,0.0,50,30,0,1,0,0,0,1,4500.0,0.0,1.0,1.0
20,695.0,-0.71942997,-1.0756487,0.0,500.0,,0.0,0.0,50,32,0,1,0,0,1,1,4500.0,0.0,0.0,0.0
21,458.0,-0.6785011,-1.0158534,0.0,500.0,1400.0,1.0,0.0,36,10,0,1,0,0,1,1,4500.0,0.0,0.0,0.0
22,618.0,-0.6710501,-1.0049677,0.0,600.0,3000.0,1.0,0.0,54,6,0,0,0,0,0,1,4500.0,0.0,0.0,0.0
23,1880.0,-0.6618633,-0.9915462,0.0,2000.0,5000.0,1.0,0.0,44,15,0,1,0,0,0,1,6000.0,1.0,0.0,0.0
24,200.0,-0.66186047,-0.99154204,0.0,1200.0,2000.0,1.0,0.0,41,20,0,0,0,0,0,1,5400.0,0.0,0.0,0.0
25,2430.0,-0.6559639,-0.9829274,0.0,200.0,800.0,1.0,0.0,35,10,0,1,0,0,0,1,6000.0,1.0,0.0,0.0
26,2861.0,-0.64773655,-0.97090757,0.0,1000.0,5000.0,0.0,0.0,45,26,0,1,0,0,1,1,6000.0,1.0,0.0,0.0
27,498.0,-0.6397314,-0.9592124,0.0,200.0,5000.0,1.0,0.0,48,14,0,1,0,0,0,1,5000.0,0.0,0.0,0.0
28,2963.0,-0.6286745,-0.9430587,0.0,600.0,1500.0,0.0,0.0,47,18,1,0,0,0,0,1,4000.0,1.0,0.0,0.0
29,848.0,-0.6210308,-0.9318916,0.0,500.0,1000.0,0.0,0.0,37,9,0,0,0,0,0,1,6000.0,0.0,1.0,0.0
30,1204.0,-0.6042671,-0.90740055,0.0,1000.0,10000.0,0.0,0.0,38,10,1,1,0,0,0,1,6000.0,1.0,0.0,0.0
31,529.0,-0.6042671,-0.90740055,0.0,700.0,2400.0,1.0,1.0,38,19,1,1,0,0,0,1,6000.0,1.0,0.0,0.0
32,1374.0,-0.5879383,-0.88354486,0.0,500.0,4000.0,0.0,0.0,39,7,0,0,0,0,0,1,6000.0,1.0,0.0,0.0
33,617.0,-0.53312397,-0.8034634,0.0,700.0,5000.0,1.0,0.0,54,15,1,1,0,0,0,1,6000.0,0.0,0.0,0.0
34,2299.0,-0.49676418,-0.75034326,0.0,500.0,3000.0,0.0,0.0,48,6,0,1,0,0,0,1,4500.0,1.0,1.0,0.0
35,1712.0,-0.48416424,-0.73193526,0.0,1000.0,4500.0,1.0,1.0,46,18,0,0,0,0,1,1,6000.0,1.0,0.0,0.0
36,550.0,-0.48416424,-0.73193526,0.0,1000.0,3000.0,0.0,0.0,46,7,0,1,0,0,0,1,6000.0,0.0,0.0,0.0
